rank,song,singer
1,Ditto,NewJeans
2,OMG,NewJeans
3,Hype boy,NewJeans
4,Teddy Bear,STAYC(스테이씨)
5,사랑하기 싫어,지아
6,사건의 지평선,윤하 (YOUNHA)
7,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
8,사랑은 늘 도망가,임영웅
9,심(心),DK(디셈버)
10,I Don't Think That I Like Her,Charlie Puth
11,CHRISTIAN,Zior Park
12,우리들의 블루스,임영웅
13,VIBE (feat. Jimin of BTS),태양
14,다시 만날 수 있을까,임영웅
15,London Boy,임영웅
16,Attention,NewJeans
17,Polaroid,임영웅
18,ANTIFRAGILE,LE SSERAFIM (르세라핌)
19,나비무덤,포맨 (4MEN)
20,이제 나만 믿어요,임영웅
21,무지개,임영웅
22,Nostalgia,우디 (Woody)
23,아버지,임영웅
24,After LIKE,IVE (아이브)
25,on the street (with J. Cole),j-hope
26,A bientot,임영웅
27,인생찬가,임영웅
28,손이 참 곱던 그대,임영웅
29,사랑해 진짜,임영웅
30,연애편지,임영웅
31,NIGHT DANCER,imase
32,LOVE DIVE,IVE (아이브)
33,보금자리,임영웅
34,사랑인가 봐,멜로망스
35,Candy,NCT DREAM
36,Dynamite,방탄소년단
37,Set Me Free Pt.2,지민
38,Dangerously,Charlie Puth
39,봄날,방탄소년단
40,Rush Hour (Feat. j-hope of BTS),Crush
41,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
42,너의 모든 순간,성시경
43,Butter,방탄소년단
44,Nxde,(여자)아이들
45,That's Hilarious,Charlie Puth
46,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),정국
47,Say I Love You,우디 (Woody)
48,Monologue,테이
49,너와 함께,김민석 (멜로망스)
50,혼자가 아닌 나,정효빈
51,사랑이라 믿었던 것들은 (Feat. 이수현),BIG Naughty (서동현)
52,Cookie,NewJeans
53,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO)
54,해요 (2022),#안녕
55,Permission to Dance,방탄소년단
56,Sugar Rush Ride,투모로우바이투게더
57,STAY,The Kid LAROI
58,취중고백,김민석 (멜로망스)
59,That That (prod. & feat. SUGA of BTS),싸이 (PSY)
60,Shut Down,BLACKPINK
61,Unholy,Sam Smith
62,TOMBOY,(여자)아이들
63,내가 아니라도,주호
64,FEARLESS,LE SSERAFIM (르세라핌)
65,Pink Venom,BLACKPINK
66,결국엔 너에게 닿아서,WSG워너비 (가야G)
67,Poppy (Korean Ver.),STAYC(스테이씨)
68,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
69,너를 보는게 지친 하루에,송하예
70,그라데이션,10CM
71,Expectations,Anne-Marie
72,그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
73,다정히 내 이름을 부르면,경서예지
74,오르트구름,윤하 (YOUNHA)
75,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지
76,Left and Right (Feat. Jung Kook of BTS),Charlie Puth
77,그중에 그대를 만나,김호중
78,ELEVEN,IVE (아이브)
79,그대를 알고,송하예
80,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
81,당신을 만나,김호중
82,잘가요,주호
83,Yet To Come,방탄소년단
84,마지막 사랑,신예영
85,나의 X에게,경서
86,딱 10CM만,10CM
87,나의 목소리로,김호중
88,그댄 행복에 살텐데 (2022),최유리
89,Off My Face,Justin Bieber
90,자격지심 (Feat. ZICO),BE'O (비오)
91,LOVE me,BE'O (비오)
92,이젠 안녕,투모로우바이투게더
93,그대라는 사치,임창정
94,네가 보고 싶은 건 자연스러운 거겠지,신예영
95,아모르 파티,이홍기 (FT아일랜드)
96,밤하늘의 별을(2020),경서
97,봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
98,떠나보낼 준비해 둘걸 그랬어,임한별
99,되돌리다,먼데이 키즈 (Monday Kiz)
100,마이웨이 (MY WAY) (Prod. R.Tee),저스디스 (JUSTHIS)
